content_id,tag_id
4002617,90003
4002617,90000
4002618,90004
4002618,90057
4002619,90057
4002619,90004
4002620,90057
4002620,90004
4002621,90057
4002623,90057
4002624,90057
4002625,90057
4002625,90004
4002626,90004
4002626,90057
4002627,90057
4002628,90004
4002628,90057
4002629,90004
4002629,90057
4002630,90057
4002631,90057
4002632,90079
4002633,90057
4002634,90057
4002634,90004
4002634,90015
4002635,90057
4002635,90004
4002635,90016
4002636,90057
4002636,90004
4002636,90017
4002637,90057
4002637,90004
4002637,90018
4002638,90057
4002638,90004
4002638,90019
4002639,90057
4002639,90005
4002639,90020
4002640,90057
4002640,90005
4002640,90021
4002641,90057
4002641,90005
4002641,90022
