tagid,tagname
90000,Pregnancy
90001,Week1
90002,Week2
90003,Week3
90004,Week4
90005,Week5
90006,Week6
90007,Week7
90008,Week8
90009,Week9
90010,Week10
90011,Week11
90012,Week12
90013,Week13
90014,Week14
90015,Week15
90016,Week16
90017,Week17
90018,Week18
90019,Week19
90020,Week20
90021,Week21
90022,Week22
90023,Week23
90024,Week24
90025,Week25
90026,Week26
90027,Week27
90028,Week28
90029,Week29
90030,Week30
90031,Week31
90032,Week32
90033,Week33
90034,Week34
90035,Week35
90036,Week36
90037,Week37
90038,Week38
90039,Week39
90040,Week40
90041,Week41
90042,Week42
90043,Reserved 43
90044,Reserved 44
90045,Reserved 45
90046,Reserved 46
90047,Reserved 47
90048,Reserved 48
90049,Reserved 49
90050,Reserved 50
90051,Month1
90052,Month2
90053,Month3
90054,Month4
90055,Month5
90056,Month6
90057,Month7
90058,Month8
90059,Month9
90060,Pregnancy Loss
90061,Trimester 1
90062,Trimester 2
90063,Trimester 3
90064,Year 1
90065,Year 2
90066,Twins
90067,Single Parent
90068,Budget
90069,Healthy Living
90070,Winter
90071,Summer
90072,Christmas
90073,Halloween
90074,Reserved 74
90075,Reserved 75
90076,Reserved 76
90077,Reserved 77
90078,Reserved 78
90079,Reserved 79
90080,Reserved 80
90081,Reserved 81
90082,Reserved 82
90083,Reserved 83
90084,Reserved 84
90085,Reserved 85
90086,Reserved 86
90087,Reserved 87
90088,Reserved 88
90089,Reserved 89
90090,Reserved 90
90091,Reserved 91
90092,Reserved 92
90093,Reserved 93
90094,Reserved 94
90095,Reserved 95
90096,Reserved 96
90097,Reserved 97
90098,Reserved 98
90099,Reserved 99
90100,Reserved 100
