tagid,tagname
90001,Week1
90002,Week2
90003,Week3
90004,Week4
90005,Week5
90006,Week6
90007,Week7
90008,Week8
90009,Week9
90010,Week10
90011,Week11
90012,Week12
90013,Week13
90014,Week14
90015,Week15
90016,Week16
90017,Week17
90018,Week18
90019,Week19
90020,Week20
90021,Week21
90022,Week22
90023,Week23
90024,Week24
90025,Week25
90026,Week26
90027,Week27
90028,Week28
90029,Week29
90030,Week30
90031,Week31
90032,Week32
90033,Week33
90034,Week34
90035,Week35
90036,Week36
90037,Week37
90038,Week38
90039,Week39
90040,Week40
90041,Week41
90042,Week42
90051,Month1
90052,Month2
90053,Month3
90054,Month4
90055,Month5
90056,Month6
90057,Month7
90058,Month8
90059,Month9
90071,Trimester 1
90072,Trimester 2
90073,Trimester 3
