week,wtagid,month,mtagid,trimester,ttagid
w1,90001,m1,90051,t1,90061
w2,90002,m1,90051,t1,90061
w3,90003,m1,90051,t1,90061
w4,90004,m1,90051,t1,90061
w5,90005,m2,90052,t1,90061
w6,90006,m2,90052,t1,90061
w7,90007,m2,90052,t1,90061
w8,90008,m2,90052,t1,90061
w9,90009,m3,90053,t1,90061
w10,90010,m3,90053,t1,90061
w11,90011,m3,90053,t1,90061
w12,90012,m3,90053,t1,90061
w13,90013,m3,90053,t1,90061
w14,90014,m4,90054,t2,90062
w15,90015,m4,90054,t2,90062
w16,90016,m4,90054,t2,90062
w17,90017,m4,90054,t2,90062
w18,90018,m5,90055,t2,90062
w19,90019,m5,90055,t2,90062
w20,90020,m5,90055,t2,90062
w21,90021,m5,90055,t2,90062
w22,90022,m6,90056,t2,90062
w23,90023,m6,90056,t2,90062
w24,90024,m6,90056,t2,90062
w25,90025,m6,90056,t2,90062
w26,90026,m6,90056,t2,90062
w27,90027,m7,90057,t3,90063
w28,90028,m7,90057,t3,90063
w29,90029,m7,90057,t3,90063
w30,90030,m7,90057,t3,90063
w31,90031,m8,90058,t3,90063
w32,90032,m8,90058,t3,90063
w33,90033,m8,90058,t3,90063
w34,90034,m8,90058,t3,90063
w35,90035,m8,90058,t3,90063
w36,90036,m9,90059,t3,90063
w37,90037,m9,90059,t3,90063
w38,90038,m9,90059,t3,90063
w39,90039,m9,90059,t3,90063
w40,90040,m9,90059,t3,90063
w41,90041,m9,90059,t3,90063
w42,90042,m9,90059,t3,90063
w43,90043,m9,90059,t3,90063
w44,90044,m9,90059,t3,90063
w45,90045,m9,90059,t3,90063
