tagid,tagname,tagenabled
90001,Week1,1
90002,Week2,1
90003,Week3,1
90004,Week4,1
90005,Week5,1
90006,Week6,1
90007,Week7,1
90008,Week8,1
90009,Week9,1
90010,Week10,1
90011,Week11,1
90012,Week12,1
90013,Week13,1
90014,Week14,1
90015,Week15,1
90016,Week16,1
90017,Week17,1
90018,Week18,1
90019,Week19,1
90020,Week20,1
90021,Week21,1
90022,Week22,1
90023,Week23,1
90024,Week24,1
90025,Week25,1
90026,Week26,1
90027,Week27,1
90028,Week28,1
90029,Week29,1
90030,Week30,1
90031,Week31,1
90032,Week32,1
90033,Week33,1
90034,Week34,1
90035,Week35,1
90036,Week36,1
90037,Week37,1
90038,Week38,1
90039,Week39,1
90040,Week40,1
90041,Week41,1
90042,Week42,1
