userid,tagid,tagname
2574562,90045,Reserved 45
2574562,90080,Reserved 80
2574562,90059,Month9
2574562,90087,Reserved 87
4812677,90054,Month4
4812677,90089,Reserved 89
4812677,90013,Week13
4812677,90089,Reserved 89
5138500,90040,Week40
5138500,90082,Reserved 82
5138500,90017,Week17
6678802,90078,Reserved 78
6678802,90025,Week25
6678802,90006,Week6
6678802,90051,Month1
7141246,90048,Reserved 48
7141246,90020,Week20
7141246,90038,Week38
8785295,90048,Reserved 48
8785295,90073,Halloween
8785295,90066,Twins
9529672,90028,Week28
9529672,90076,Reserved 76
9529672,90005,Week5
9529672,90025,Week25
9608841,90089,Reserved 89
9608841,90077,Reserved 77
9608841,90099,Reserved 99
9608841,90043,Reserved 43
9838580,90019,Week19
9838580,90001,Week1
9838580,90002,Week2
9929762,90032,Week32
9929762,90083,Reserved 83
9929762,90077,Reserved 77
10577545,90043,Reserved 43
10577545,90038,Week38
10577545,90016,Week16
12420359,90017,Week17
12420359,90037,Week37
12420359,90064,Year 1
12420359,90085,Reserved 85
13850182,90071,Summer
13850182,90080,Reserved 80
13850182,90047,Reserved 47
13913337,90004,Week4
13913337,90017,Week17
13913337,90064,Year 1
14310448,90094,Reserved 94
14310448,90086,Reserved 86
14310448,90052,Month2
14326526,90095,Reserved 95
14326526,90027,Week27
14326526,90086,Reserved 86
14326526,90067,Single Parent
14532890,90047,Reserved 47
14532890,90034,Week34
14532890,90027,Week27
14532890,90006,Week6
14594724,90074,Reserved 74
14594724,90069,Healthy Living
14594724,90093,Reserved 93
14594724,90041,Week41
15033553,90092,Reserved 92
15033553,90048,Reserved 48
15033553,90077,Reserved 77
15033553,90082,Reserved 82
15139800,90093,Reserved 93
15139800,90011,Week11
15139800,90068,Budget
15139800,90020,Week20
16490601,90029,Week29
16490601,90072,Christmas
16490601,90085,Reserved 85
16490601,90061,Trimester 1
18095976,90086,Reserved 86
18095976,90074,Reserved 74
18095976,90041,Week41
18095976,90011,Week11
18453464,90057,Month7
18453464,90031,Week31
18453464,90044,Reserved 44
19083498,90077,Reserved 77
19083498,90004,Week4
19083498,90096,Reserved 96
20645765,90062,Trimester 2
20645765,90064,Year 1
20645765,90057,Month7
20850535,90081,Reserved 81
20850535,90000,Pregnancy
20850535,90012,Week12
20850535,90017,Week17
20998188,90008,Week8
20998188,90079,Reserved 79
20998188,90093,Reserved 93
20998188,90076,Reserved 76
21328886,90085,Reserved 85
21328886,90003,Week3
21328886,90002,Week2
22846500,90054,Month4
22846500,90008,Week8
22846500,90056,Month6
22846500,90004,Week4
22934303,90100,Reserved 100
22934303,90046,Reserved 46
22934303,90027,Week27
23068316,90079,Reserved 79
23068316,90082,Reserved 82
23068316,90022,Week22
23264062,90052,Month2
23264062,90085,Reserved 85
23264062,90025,Week25
23264062,90002,Week2
23709115,90040,Week40
23709115,90026,Week26
23709115,90085,Reserved 85
24410573,90092,Reserved 92
24410573,90045,Reserved 45
24410573,90004,Week4
24593395,90003,Week3
24593395,90004,Week4
24593395,90019,Week19
24593395,90044,Reserved 44
24819382,90023,Week23
24819382,90038,Week38
24819382,90008,Week8
24819382,90064,Year 1
27784852,90030,Week30
27784852,90097,Reserved 97
27784852,90099,Reserved 99
27784852,90028,Week28
27897788,90030,Week30
27897788,90052,Month2
27897788,90050,Reserved 50
28206355,90090,Reserved 90
28206355,90022,Week22
28206355,90038,Week38
28206355,90083,Reserved 83
28574291,90008,Week8
28574291,90040,Week40
28574291,90074,Reserved 74
28585322,90065,Year 2
28585322,90027,Week27
28585322,90081,Reserved 81
28594774,90031,Week31
28594774,90089,Reserved 89
28594774,90076,Reserved 76
28594774,90033,Week33
28736901,90047,Reserved 47
28736901,90046,Reserved 46
28736901,90088,Reserved 88
28912010,90045,Reserved 45
28912010,90086,Reserved 86
28912010,90055,Month5
28912010,90046,Reserved 46
29017549,90027,Week27
29017549,90055,Month5
29017549,90045,Reserved 45
29377005,90035,Week35
29377005,90088,Reserved 88
29377005,90015,Week15
29580383,90052,Month2
29580383,90069,Healthy Living
29580383,90033,Week33
29580383,90029,Week29
29730834,90097,Reserved 97
29730834,90036,Week36
29730834,90037,Week37
29919028,90068,Budget
29919028,90056,Month6
29919028,90061,Trimester 1
29919028,90048,Reserved 48
29972965,90006,Week6
29972965,90014,Week14
29972965,90031,Week31
30345991,90005,Week5
30345991,90040,Week40
30345991,90073,Halloween
30345991,90087,Reserved 87
31643951,90051,Month1
31643951,90038,Week38
31643951,90009,Week9
31643951,90065,Year 2
31687731,90017,Week17
31687731,90040,Week40
31687731,90084,Reserved 84
32008153,90027,Week27
32008153,90045,Reserved 45
32008153,90098,Reserved 98
33236145,90011,Week11
33236145,90029,Week29
33236145,90076,Reserved 76
33834078,90027,Week27
33834078,90034,Week34
33834078,90076,Reserved 76
34085434,90002,Week2
34085434,90036,Week36
34085434,90076,Reserved 76
34085434,90065,Year 2
34121441,90033,Week33
34121441,90087,Reserved 87
34121441,90042,Week42
34121441,90006,Week6
35182660,90079,Reserved 79
35182660,90066,Twins
35182660,90058,Month8
36976296,90078,Reserved 78
36976296,90070,Winter
36976296,90018,Week18
36976296,90078,Reserved 78
37799016,90047,Reserved 47
37799016,90001,Week1
37799016,90087,Reserved 87
37799016,90064,Year 1
38590643,90044,Reserved 44
38590643,90024,Week24
38590643,90079,Reserved 79
39026113,90035,Week35
39026113,90018,Week18
39026113,90069,Healthy Living
39225296,90002,Week2
39225296,90003,Week3
39225296,90078,Reserved 78
39225296,90082,Reserved 82
39952152,90093,Reserved 93
39952152,90031,Week31
39952152,90021,Week21
39952152,90039,Week39
40107592,90020,Week20
40107592,90047,Reserved 47
40107592,90004,Week4
