week,tagid,description,type,mode
1,90001,w1,w,p
1,90051,m1,m,p
1,90061,t1,t,p
2,90002,w2,w,p
2,90051,m1,m,p
2,90061,t1,t,p
3,90003,w3,w,p
3,90051,m1,m,p
3,90061,t1,t,p
4,90004,w4,w,p
4,90051,m1,m,p
4,90061,t1,t,p
5,90005,w5,w,p
5,90052,m2,m,p
5,90061,t1,t,p
6,90006,w6,w,p
6,90052,m2,m,p
6,90061,t1,t,p
7,90007,w7,w,p
7,90052,m2,m,p
7,90061,t1,t,p
8,90008,w8,w,p
8,90052,m2,m,p
8,90061,t1,t,p
9,90009,w9,w,p
9,90053,m3,m,p
9,90061,t1,t,p
10,90010,w10,w,p
10,90053,m3,m,p
10,90061,t1,t,p
11,90011,w11,w,p
11,90053,m3,m,p
11,90061,t1,t,p
12,90012,w12,w,p
12,90053,m3,m,p
12,90061,t1,t,p
13,90013,w13,w,p
13,90053,m3,m,p
13,90061,t1,t,p
14,90014,w14,w,p
14,90054,m4,m,p
14,90062,t2,t,p
15,90015,w15,w,p
15,90054,m4,m,p
15,90062,t2,t,p
16,90016,w16,w,p
16,90054,m4,m,p
16,90062,t2,t,p
17,90017,w17,w,p
17,90054,m4,m,p
17,90062,t2,t,p
18,90018,w18,w,p
18,90055,m5,m,p
18,90062,t2,t,p
19,90019,w19,w,p
19,90055,m5,m,p
19,90062,t2,t,p
20,90020,w20,w,p
20,90055,m5,m,p
20,90062,t2,t,p
21,90021,w21,w,p
21,90055,m5,m,p
21,90062,t2,t,p
22,90022,w22,w,p
22,90056,m6,m,p
22,90062,t2,t,p
23,90023,w23,w,p
23,90056,m6,m,p
23,90062,t2,t,p
24,90024,w24,w,p
24,90056,m6,m,p
24,90062,t2,t,p
25,90025,w25,w,p
25,90056,m6,m,p
25,90062,t2,t,p
26,90026,w26,w,p
26,90056,m6,m,p
26,90062,t2,t,p
27,90027,w27,w,p
27,90057,m7,m,p
27,90063,t3,t,p
28,90028,w28,w,p
28,90057,m7,m,p
28,90063,t3,t,p
29,90029,w29,w,p
29,90057,m7,m,p
29,90063,t3,t,p
30,90030,w30,w,p
30,90057,m7,m,p
30,90063,t3,t,p
31,90031,w31,w,p
31,90058,m8,m,p
31,90063,t3,t,p
32,90032,w32,w,p
32,90058,m8,m,p
32,90063,t3,t,p
33,90033,w33,w,p
33,90058,m8,m,p
33,90063,t3,t,p
34,90034,w34,w,p
34,90058,m8,m,p
34,90063,t3,t,p
35,90035,w35,w,p
35,90058,m8,m,p
35,90063,t3,t,p
36,90036,w36,w,p
36,90059,m9,m,p
36,90063,t3,t,p
37,90037,w37,w,p
37,90059,m9,m,p
37,90063,t3,t,p
38,90038,w38,w,p
38,90059,m9,m,p
38,90063,t3,t,p
39,90039,w39,w,p
39,90059,m9,m,p
39,90063,t3,t,p
40,90040,w40,w,p
40,90059,m9,m,p
40,90063,t3,t,p
41,90041,w41,w,p
41,90059,m9,m,p
41,90063,t3,t,p
42,90042,w42,w,p
42,90059,m9,m,p
42,90063,t3,t,p
43,90043,w43,w,p
43,90059,m9,m,p
43,90063,t3,t,p
44,90044,w44,w,p
44,90059,m9,m,p
44,90063,t3,t,p
45,90045,w45,w,p
45,90059,m9,m,p
45,90063,t3,t,p
